Category,Item,Serving Size,Weight (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV)
Meat,Italian Classic 14" Large Thin 'N Crispy®,1 slice = 1/12 pizza,79,240,10,4,0.2,25,480,26,1,2,12,6,30,10,15
Meat,Italian Classic 12" Medium Stuffed Crust,1 slice = 1/8 pizza,116,300,14,7,0.3,40,560,26,1,1,18,10,30,20,15
Meat,Italian Classic 14" Large Stuffed Crust,1 slice = 1/12 pizza,106,270,13,6,0.3,40,500,22,1,1,16,10,30,20,10
Meat,Italian Classic 12" Medium Homestyle,1 slice = 1/8 pizza,98,250,11,5,0.2,25,430,26,1,1,12,6,30,10,15
Meat,Italian Classic 14" Large Homestyle,1 slice = 1/12 pizza,91,230,10,4,0.2,25,390,22,1,1,11,6,30,10,10
Meat,Italian Classic Panormous,1 slice = 1/16 pizza,118,290,13,5,0.2,25,390,31,2,2,12,8,45,10,60
Meat,Canadian 6" Personal Pan Pizza®,1 pizza,213,650,28,9,0.3,50,930,72,4,3,29,2,4,20,150
Meat,Canadian 9" Small Pan,1 slice = 1/6 pizza,69,210,9,3,0.1,20,320,22,1,1,10,2,2,8,45
Meat,Canadian 12" Medium Pan,1 slice = 1/8 pizza,95,290,13,5,0.2,25,450,30,2,1,14,2,4,10,60
Meat,Canadian 14" Large Pan,1 slice = 1/12 pizza,88,270,12,4,0.2,25,420,27,1,1,13,2,2,10,60
Meat,Canadian 12" Medium Thin 'N Crispy®,1 slice = 1/8 pizza,76,250,10,4,0.2,25,550,27,1,1,13,2,4,10,15
Meat,Canadian 14" Large Thin 'N Crispy®,1 slice = 1/12 pizza,68,240,10,4,0.2,25,530,25,1,1,12,2,4,10,15
Meat,Canadian 12" Medium Stuffed Crust,1 slice = 1/8 pizza,109,290,13,6,0.3,40,610,25,1,1,18,6,4,20,15
Meat,Canadian 14" Large Stuffed Crust,1 slice = 1/12 pizza,99,260,12,6,0.3,35,540,21,1,1,16,6,4,20,10
Meat,Canadian 12" Medium Homestyle,1 slice = 1/8 pizza,91,250,11,5,0.2,25,470,25,1,1,13,2,4,10,15
Meat,Canadian 14" Large Homestyle,1 slice = 1/12 pizza,84,220,10,4,0.2,25,420,21,1,1,12,2,4,10,10
Meat,Canadian Panormous,1 slice = 1/16 pizza,107,280,13,4,0.2,25,430,30,2,1,13,2,4,10,60
Meat,Triple Crown® 6" Personal Pan Pizza®,1 pizza,210,590,24,7,0.3,35,690,72,4,3,24,2,25,20,150
Meat,Triple Crown® 9" Small Pan,1 slice = 1/6 pizza,68,190,8,3,0.1,10,240,22,1,1,8,2,10,8,45
Meat,Triple Crown® 12" Medium Pan,1 slice = 1/8 pizza,95,260,11,4,0.2,15,330,30,2,1,11,2,15,10,60
Meat,Triple Crown® 14" Large Pan,1 slice = 1/12 pizza,88,240,10,4,0.2,15,310,27,1,1,11,2,15,10,60
Meat,Triple Crown® 12" Medium Thin 'N Crispy®,1 slice = 1/8 pizza,78,220,8,4,0.2,15,450,27,1,2,11,2,15,10,15
Meat,Triple Crown® 14" Large Thin 'N Crispy®,1 slice = 1/12 pizza,71,210,8,4,0.2,15,420,26,1,1,10,2,15,10,15
Meat,Triple Crown® 12" Medium Stuffed Crust,1 slice = 1/8 pizza,110,270,11,6,0.3,30,500,25,1,1,16,6,15,20,15
Meat,Triple Crown® 14" Large Stuffed Crust,1 slice = 1/12 pizza,99,230,10,5,0.3,30,440,22,1,1,14,6,15,20,10
Meat,Triple Crown® 12" Medium Homestyle,1 slice = 1/8 pizza,91,220,8,4,0.2,20,370,25,1,1,11,2,15,10,15
Meat,Triple Crown® 14" Large Homestyle,1 slice = 1/12 pizza,84,190,8,4,0.2,15,330,21,1,1,10,2,15,10,10
Meat,Triple Crown® Panormous,1 slice = 1/16 pizza,107,250,11,4,0.2,15,330,30,2,1,11,2,15,10,60
Meat,Hawaiian 6" Personal Pan Pizza®,1 pizza,234,650,25,9,0.4,45,810,77,4,7,30,2,2,30,150
Meat,Hawaiian 9" Small Pan,1 slice = 1/6 pizza,76,210,8,3,0.1,15,280,24,1,2,10,2,2,10,45
Meat,Hawaiian 12" Medium Pan,1 slice = 1/8 pizza,101,280,11,4,0.2,25,390,32,2,3,14,2,2,15,60
Meat,Hawaiian 14" Large Pan,1 slice = 1/12 pizza,95,260,11,4,0.2,20,370,29,1,3,13,2,2,15,60
Meat,Hawaiian 12" Medium Thin 'N Crispy®,1 slice = 1/8 pizza,83,240,8,4,0.2,25,500,29,1,3,13,2,2,15,15
Meat,Hawaiian 14" Large Thin 'N Crispy®,1 slice = 1/12 pizza,77,230,8,4,0.2,20,480,27,1,3,13,2,2,15,15
Meat,Pepperoni Lover's® 12" Medium Stuffed Crust,1 slice = 1/8 pizza,116,280,12,6,0.3,40,560,27,1,3,19,6,4,25,15
Meat,Pepperoni Lover's® 14" Large Stuffed Crust,1 slice = 1/12 pizza,105,250,10,5,0.3,35,500,23,1,2,17,6,2,25,10
Meat,Pepperoni Lover's® 12" Medium Homestyle,1 slice = 1/8 pizza,95,210,7,3,0.2,20,390,27,1,3,11,2,4,10,15
Meat,Pepperoni Lover's® 14" Large Homestyle,1 slice = 1/12 pizza,90,210,8,4,0.2,20,380,23,1,2,12,2,4,15,10
Meat,Pepperoni Lover's® Panormous,1 slice = 1/16 pizza,115,280,11,4,0.2,20,390,32,2,3,13,2,2,15,60
