Item Name,Source URL,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Sugars (g),Protein (g),Potassium (mg),Calcium (% DV),Iron (% DV),Vitamin A (% DV),Vitamin C (% DV),Vitamin D (% DV),Contains Allergens,May Contain Allergens
10 Chicken McNuggets,https://www.mcdonalds.com/ca/en-ca/product/10-chicken-mcnuggets.html,159 g,410 Cals,23 g,4 g,0.2 g,70 mg,750 mg,26 g,0 g,0 g,26 g,0 mg,2,7,0,,0,Wheat,
20 Chicken McNuggets (Serves 2),https://www.mcdonalds.com/ca/en-ca/product/20-chicken-mcnuggets.html,318 g,830 Cals,46 g,8 g,0.4 g,140 mg,1490 mg,51 g,0 g,0 g,52 g,0 mg,2,14,0,,0,Wheat,
Spicy Buffalo Chicken Poutine (Québec),https://www.mcdonalds.com/ca/en-ca/product/spicy-buffalo-chicken-poutine.html,324 g,1010 Cals,46 g,14 g,1 g,90 mg,3630 mg,122 g,6 g,9 g,31 g,1050 mg,38,14,0,,0,"Milk, Wheat",
Chicken Snack Wrap Happy Meal with Crispy Chicken,https://www.mcdonalds.com/ca/en-ca/product/happy-meal-snack-wrap-crispy.html,118 g,290 Cals,14 g,3.5 g,0.1 g,30 mg,410 mg,27 g,1 g,1 g,14 g,225 mg,0,10,0,,0,"Egg, Mustard, Wheat",
Spicy Buffalo Chicken Snack Wrap with Grilled Chicken,https://www.mcdonalds.com/ca/en-ca/product/spicy-buffalo-snack-wrap-grilled.html,124 g,240 Cals,10 g,4.5 g,0.2 g,50 mg,550 mg,21 g,1 g,0 g,18 g,75 mg,6,10,0,,0,"Milk, Wheat",
Spicy Buffalo Chicken Snack Wrap with Crispy Chicken,https://www.mcdonalds.com/ca/en-ca/product/spicy-buffalo-snack-wrap-crispy.html,132 g,310 Cals,15 g,5 g,0.2 g,40 mg,650 mg,27 g,1 g,1 g,17 g,250 mg,6,10,0,,0,"Milk, Wheat",
Sweet Chili McWrap - Grilled,https://www.mcdonalds.com/ca/en-ca/product/new-sweet-chili-mcwrap-grilled.html,234 g,460 Cals,18 g,5 g,0.2 g,90 mg,840 mg,45 g,2 g,11 g,30 g,400 mg,4,17,0,,0,"Egg, Mustard, Wheat",
Sweet Chili McWrap - Crispy,https://www.mcdonalds.com/ca/en-ca/product/new-sweet-chili-mcwrap-crispy.html,250 g,590 Cals,28 g,6 g,0.2 g,65 mg,1030 mg,56 g,3 g,13 g,28 g,700 mg,6,17,0,,0,"Egg, Mustard, Wheat",
Chicken & Bacon McWrap - Crispy,https://www.mcdonalds.com/ca/en-ca/product/new-chicken-and-bacon-mcwrap-crispy.html,258 g,610 Cals,32 g,8 g,0.3 g,80 mg,1040 mg,49 g,3 g,6 g,31 g,750 mg,6,19,11,,0,"Egg, Mustard, Wheat",
Chicken & Bacon McWrap - Grilled,https://www.mcdonalds.com/ca/en-ca/product/new-chicken-and-bacon-mcwrap-grilled.html,242 g,480 Cals,22 g,6 g,0.2 g,100 mg,850 mg,37 g,2 g,4 g,33 g,400 mg,6,17,11,,0,"Egg, Mustard, Wheat",
